Url,Title,Query,Error,Timestamp
https://trudnocaizdravlje.rs/nespusteni-i-setajuci-testis-kod-beba-i-dece-sta-je-uzrok-i-kako-se-leci-trudnoca-i-zdravlje/,Nespušteni i Šetajući Testis kod Beba i Dece | Trudnoca i zdravlje,testis 1,NONE,['harmoniabeograd@gmail.com'],NONE,"""2020-07-14T10:36:13.092619"""
https://www.healthline.com/health/faqs-about-living-with-one-testicle,One Testicle (Monorchism): FAQs About Living With One Testicle,testis 1,NONE,NONE,NONE,"""2020-07-14T10:36:17.251432"""
https://www.healthline.com/health/faqs-about-living-with-one-testicle#causes,One Testicle (Monorchism): FAQs About Living With One Testicle,testis 1,NONE,NONE,NONE,"""2020-07-14T10:36:21.050358"""
https://www.healthline.com/health/faqs-about-living-with-one-testicle#sex,One Testicle (Monorchism): FAQs About Living With One Testicle,testis 1,NONE,NONE,NONE,"""2020-07-14T10:36:24.089006"""
https://www.healthline.com/health/faqs-about-living-with-one-testicle#fertility,One Testicle (Monorchism): FAQs About Living With One Testicle,testis 1,NONE,NONE,NONE,"""2020-07-14T10:36:27.537994"""
https://www.belmedic.rs/edukacija/setajuci-ili-migrantni-testis,Šetajući ili migrantni testis | Bel Medic,testis 1,NONE,['1000office@belmedic.com'],NONE,"""2020-07-14T10:36:29.256849"""
https://radiopaedia.org/articles/testis-1,Testis | Radiology Reference Article | Radiopaedia.org,testis 1,NONE,NONE,NONE,"""2020-07-14T10:36:33.763393"""
https://www.pnas.org/content/117/24/13680,Testis formation in XX individuals resulting from novel pathogenic variants in Wilms’ tumor 1 (WT1) gene | PNAS,testis 1,NONE,NONE,NONE,"""2020-07-14T10:36:47.706097"""
https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382011000600007&lng=en&tlng=en,"Findings concerning testis, vas deference, and epididymis in adult cases with nonpalpable testes",testis 1,NONE,"['drs1092@gmail.com', '2246-4088brazjurol@brazjurol.com']",NONE,"""2020-07-14T10:36:58.620504"""
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1586108/,Expression of Steroidogenic Factor 1 in the Testis Requires an Interactive Array of Elements Within Its Proximal Promoter,testis 1,NONE,NONE,NONE,"""2020-07-14T10:37:05.882293"""
