http://ktkc.lt/studijos-ir-ansambliai/folkloras/vaiku-tautiniu-sokiu-ansamblis-kalvelis-4-19-m/,  Vaikų tautinių šokių ansamblis „Kalvelis“ (6-19 m.) - Kauno tautinės kultūros centras,1
https://plungeskc.lt/meno-kolektyvai/vaiku-ir-jaunimo-tautiniu-sokiu-ansamblis-zirgineliai/,Vaikų ir jaunimo tautinių šokių ansamblis „Žirginėliai“ » Plungės kultūros centras,2
https://www.vgtu.lt/sporto-ir-meno-centras/kontaktai/meno-skyrius/tautiniu-sokiu-ansamblis-vingis/298250?lang=1,Kontaktai | Sporto ir meno centras | VGTU,3
https://www.vmlr.lt/activities/tautiniu-sokiu-ansamblis-malunelis/,"Tautinių šokių ansamblis ,,Malūnėlis"" - Kauno vaikų ir moksleivių laisvalaikio rūmai",4
https://lvjc.lt/veiklos/ugnele/,„Ugnelė“ - Lietuvos Vaikų ir Jaunimo Centras,5
https://lsmuni.lt/lt/struktura/kiti-padaliniai-ir-organizacijos/kulturos-centras/tautiniu-sokiu-kolektyvas-dzigunas.html,Tautinių šokių kolektyvas „DŽIGŪNAS“ | LSMU,6
http://www.vingieciai.lt/kontaktai/,"Vilniaus Gedimino Technikos Universiteto Tautinių šokių ansamblis ""Vingis"" – Kontaktai    ",7
http://birstonokultura.lt/jaunuoliu-tautiniu-sokiu-kolektyvas-kupole/,"Jaunuolių tautinių šokių kolektyvas ,,Kupolė"" | Birštono kultūros centras |",8
http://birstonokultura.lt/kolektyvu-vadovu-kontaktai/,Kolektyvų vadovų kontaktai | Birštono kultūros centras |,9
http://menucentras.vdu.lt/kolektyvai/zilvitis/,VDU Tautinių šokių ansamblis „Žilvitis“ - VDU Menų centras,10
https://lazdijai.lt/lit/Meras-pasveikino-tautiniu-sokiu-kolektyva-/13129568,,11,ERROR: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1108)>
https://rekvizitai.vz.lt/imone/tautiniu_sokiu_ansamblis_sietuva/,Tautinių Šokių Ansamblis Sietuva. Rekvizitai.lt,12
https://rekvizitai.vz.lt/imone/marijampoles_tautiniu_sokiu_ansamblis_jotvingis/,Marijampolės Tautinių Šokių Ansamblis Jotvingis. Rekvizitai.lt,13
https://www.15min.lt/gyvenimas/naujiena/seima/unikalus-tautiniu-sokiu-kolektyvas-dziaukis-jie-megaujasi-tuo-ka-daro-1026-1225558,"Unikalus tautinių šokių kolektyvas „Džiaukis“: jie mėgaujasi tuo, ką daro | Gyvenimas | 15min.lt",14
https://www.marijampoleskc.lt/zelsvos-skyriaus-vyresniuju-tautiniu-sokiu-kolektyvas-zaltytis/,Želsvos skyriaus vyresniųjų tautinių šokių kolektyvas „Žaltytis“ – Marijampolės kultūros centras,15
https://www.marijampoleskc.lt/senjoru-sokiu-kolektyvas-jotvingiai/,Vyresniųjų tautinių šokių grupė „Jotvingis“ – Marijampolės kultūros centras,16
http://www.zvejurumai.lt/lt/kontaktai,Žvejų rūmai,17
http://sokiusvente2016.org/lt/kontaktai/,            Kontaktai - XV Lietuvių Tautinių Šokių Šventė 2016 | XV Lithuanian Folk Dance Festival 2016        ,18
https://m.facebook.com/202707779755535/photos/a.396767717016206/396767767016201/?type=3,"LIETUVIŠKI RENGINIAI AMERIKOJE - AITVARAS – tautinių šokių grupė, Portland, OR. Kontaktas Vilius Žalpys, zalpiai999@aol.com | Фејсбук",19
http://silaleskc.lt/mainytinis-tautiniu-sokiu-festivalyje-ignalinoje/,Mainytinis tautinių šokių festivalyje Ignalinoje | Šilalės kultūros centras,20
https://www.vilniuskc.lt/darbuotoju-kontaktai/,Darbuotojų kontaktai – Vilniaus Kultūros Centras,21
https://www.santara.kaunas.lm.lt/ugdymas/tautiniu-sokiu-kolektyvas/,,22,ERROR: The read operation timed out
https://grusas.kaunas.lm.lt/tautiniu-sokiu-kolektyvo-gintarelis-renginys-linksma-musu-seimynele/,Tautinių šokių kolektyvo „Gintarėlis“ renginys „Linksma mūsų šeimynėlė“ – Kauno Juozo Grušo meno gimnazija,23
http://zemkalniogimnazija.lt/index.php/tradicijos/tautiniu-sokiu-festivalis/,Tautinių šokių festivalis – Panevėžio Vytauto Žemkalnio gimnazija,24
https://sakiukc.lt/kontaktai/,Kontaktai — Šakių Kultūros Centras,25
https://kultura.birzai.lt/sokiu-grupe-raitytinis/,Jaunimo tautinių šokių grupė „Raitytinis“ - Biržų kultūros centras,26
https://anyksciukc.lt/merginu-tautiniu-sokiu-kolektyvas-saulasare/,Merginų tautinių šokių kolektyvas „Saulašarė“ • Anykščių kultūros centras,27
https://anyksciukc.lt/tautiniu-sokiu-kolektyvas-gojus/,Tautinių šokių kolektyvas „Gojus“ • Anykščių kultūros centras,28
http://kcelektrenai.lt/kolektyvai/tautiniu-sokiu-kolektyvas-vijunas/,Tautinių šokių kolektyvas „Vijūnas“ - Elektrėnų kultūros centras,29
http://www.radviliskiokc.lt/tautiniu-sokiu-grupe-patrepselis/,Tautinių šokių grupė „Patrepsėlis“ - Radviliškio miesto kultūros centras Radviliškio miesto kultūros centras,30
https://kariuomene.kam.lt/lt/kariuomenes_struktura/ramove_844/vilniaus_igulos_karininku_ramove/meno_kolektyvai/tautiniu_sokiu_ansamblis_bdquonerisrdquo.html,,31,ERROR: HTTP Error 503: Service Temporarily Unavailable
